@relation danceability
@attribute POWER numeric
@attribute CAR numeric

@data
37,0.688
524,0.837
1023,0.542
363,0.594
446,0.579
36,0.49
763,0.838
419,0.594
385,0.564
763,0.838
443,0.745
36,0.676
494,0.838
801,0.737
37,0.676
36,0.593
355,0.542
37,0.676
38,0.737
411,0.736
383,0.78
355,0.542
37,0.712
39,0.685
39,0.685
971,0.38
856,0.838
408,0.49
435,0.837
390,0.635
36,0.715
419,0.594
548,0.906
1023,0.542
1023,0.542
37,0.616
446,0.579
500,0.496
831,0.496
654,0.38
523,0.564
37,0.593
449,0.564
383,0.78
370,0.685
38,0.737
407,0.837
441,0.749
36,0.593
40,0.689
364,0.626
36,0.712
411,0.736
38,0.588
460,0.564
898,0.564
36,0.771
898,0.564
772,0.838
772,0.838
898,0.564
38,0.737
37,0.874
36,0.712
38,0.588
548,0.906
394,0.77
37,0.771
36,0.715
37,0.588
133,0.906
37,0.676
354,0.626
392,0.661
934,0.496
36,0.874
831,0.496
37,0.688
856,0.838
43,0.542
38,0.687
37,0.611
36,0.616
37,0.676
398,0.736
363,0.594
361,0.661
463,0.78
408,0.49
460,0.564
763,0.838
36,0.715
449,0.564
37,0.676
36,0.616
962,0.757
654,0.38
367,0.685
411,0.745
392,0.661
394,0.77
493,0.681
856,0.838
530,0.564
36,0.676
390,0.635
364,0.626
492,0.542
1154,0.564
953,0.564
404,0.661
38,0.737
341,0.735
524,0.837
366,0.564
411,0.745
36,0.771
37,0.703
524,0.837
38,0.687
37,0.49
441,0.749
37,0.771
354,0.626
387,0.798
36,0.712
419,0.594
36,0.593
36,0.676
366,0.564
492,0.542
37,0.874
492,0.542
37,0.703
37,0.593
38,0.687
36,0.771
953,0.564
441,0.749
367,0.685
408,0.49
36,0.712
36,0.616
37,0.616
37,0.593
37,0.593
463,0.78
419,0.594
37,0.49
411,0.736
435,0.837
398,0.736
548,0.906
37,0.588
493,0.681
36,0.874
37,0.676
37,0.688
37,0.676
37,0.611
36,0.49
772,0.838
37,0.688
1023,0.542
36,0.874
383,0.78
354,0.579
37,0.712
37,0.874
492,0.542
411,0.745
953,0.564
361,0.661
43,0.542
384,0.49
463,0.78
133,0.906
1154,0.564
441,0.749
37,0.676
37,0.712
38,0.737
38,0.737
36,0.771
647,0.49
37,0.611
354,0.626
647,0.49
36,0.616
408,0.49
37,0.49
37,0.676
523,0.564
36,0.715
398,0.736
384,0.49
37,0.588
37,0.593
36,0.874
363,0.594
38,0.588
530,0.564
500,0.496
37,0.593
37,0.688
364,0.626
482,0.798
585,0.737
36,0.874
934,0.496
463,0.78
404,0.661
36,0.49
585,0.737
801,0.737
494,0.838
443,0.745
456,0.695
366,0.564
530,0.564
530,0.564
482,0.798
585,0.737
763,0.838
393,0.618
38,0.588
37,0.688
1154,0.564
36,0.712
460,0.564
37,0.593
446,0.579
706,0.681
37,0.616
385,0.564
38,0.588
971,0.38
482,0.798
387,0.798
390,0.635
356,0.564
38,0.737
706,0.681
446,0.579
706,0.564
585,0.737
36,0.712
654,0.38
43,0.542
706,0.681
38,0.588
37,0.616
500,0.496
356,0.564
36,0.715
387,0.798
407,0.837
831,0.496
548,0.906
393,0.618
398,0.736
133,0.906
387,0.798
36,0.676
407,0.837
133,0.906
364,0.626
40,0.689
36,0.616
341,0.735
37,0.688
524,0.837
341,0.735
460,0.564
404,0.661
411,0.745
367,0.685
494,0.838
456,0.695
772,0.838
37,0.712
962,0.757
953,0.564
482,0.798
411,0.736
36,0.874
39,0.685
355,0.542
37,0.676
385,0.564
36,0.874
449,0.564
393,0.618
36,0.712
36,0.616
356,0.564
37,0.676
36,0.593
706,0.564
37,0.676
1154,0.564
366,0.564
962,0.757
354,0.579
898,0.564
354,0.579
962,0.757
456,0.695
393,0.618
443,0.745
37,0.588
384,0.49
361,0.661
647,0.49
934,0.496
654,0.38
40,0.689
354,0.626
37,0.49
38,0.588
341,0.735
36,0.874
361,0.661
37,0.874
36,0.715
37,0.703
435,0.837
37,0.611
38,0.737
385,0.564
384,0.49
370,0.685
390,0.635
36,0.715
367,0.685
36,0.49
383,0.78
363,0.594
494,0.838
36,0.616
493,0.681
647,0.49
36,0.715
523,0.564
354,0.579
40,0.689
493,0.681
706,0.564
443,0.745
856,0.838
404,0.661
394,0.77
407,0.837
435,0.837
706,0.564
38,0.588
801,0.737
831,0.496
37,0.688
392,0.661
971,0.38
392,0.661
37,0.771
971,0.38
39,0.685
37,0.703
801,0.737
38,0.687
523,0.564
370,0.685
394,0.77
449,0.564
356,0.564
500,0.496
355,0.542
456,0.695
37,0.771
43,0.542
706,0.681
370,0.685
934,0.496
37,0.593
36,0.616
36,0.712
