@relation energy
@attribute POWER numeric
@attribute CAR numeric

@data
449,0.773
36,0.786
493,0.805
37,0.692
530,0.773
394,0.787
492,0.853
548,0.662
37,0.688
36,0.743
36,0.892
36,0.743
392,0.723
36,0.675
363,0.722
398,0.457
585,0.86
435,0.577
133,0.662
393,0.767
500,0.863
364,0.88
36,0.743
37,0.688
962,0.8
971,0.988
39,0.803
404,0.723
706,0.805
706,0.773
364,0.88
831,0.863
38,0.856
361,0.723
37,0.771
772,0.853
36,0.638
460,0.773
772,0.853
492,0.853
356,0.773
384,0.907
494,0.853
367,0.803
36,0.786
934,0.863
460,0.773
341,0.482
36,0.675
354,0.88
387,0.675
523,0.773
463,0.521
763,0.853
408,0.907
366,0.773
37,0.787
971,0.988
404,0.723
898,0.773
36,0.675
435,0.577
1154,0.773
387,0.675
411,0.457
36,0.786
370,0.803
460,0.773
37,0.856
355,0.853
38,0.86
38,0.856
370,0.803
36,0.892
37,0.688
435,0.577
36,0.892
1154,0.773
363,0.722
370,0.803
385,0.773
36,0.675
37,0.787
441,0.794
456,0.847
385,0.773
801,0.86
548,0.662
460,0.773
419,0.722
831,0.863
38,0.86
548,0.662
898,0.773
772,0.853
443,0.838
355,0.853
443,0.838
494,0.853
355,0.853
463,0.521
482,0.675
500,0.863
548,0.662
37,0.638
38,0.86
763,0.853
390,0.9
36,0.787
831,0.863
456,0.847
407,0.577
524,0.577
38,0.856
38,0.856
37,0.787
494,0.853
953,0.773
393,0.767
36,0.638
398,0.457
38,0.856
801,0.86
43,0.853
36,0.692
36,0.786
384,0.907
366,0.773
387,0.675
493,0.805
38,0.86
36,0.786
404,0.723
500,0.863
37,0.705
37,0.692
934,0.863
36,0.675
392,0.723
36,0.675
449,0.773
37,0.907
36,0.638
36,0.892
962,0.8
962,0.8
38,0.856
36,0.787
446,0.737
37,0.692
934,0.863
647,0.907
36,0.743
419,0.722
411,0.838
706,0.805
36,0.743
856,0.853
370,0.803
763,0.853
37,0.786
706,0.805
523,0.773
585,0.86
37,0.688
36,0.907
492,0.853
856,0.853
354,0.737
772,0.853
38,0.856
383,0.521
407,0.577
494,0.853
446,0.737
953,0.773
37,0.856
654,0.988
37,0.692
524,0.577
493,0.805
398,0.457
37,0.692
383,0.521
36,0.907
411,0.838
407,0.577
363,0.722
441,0.794
384,0.907
463,0.521
354,0.88
801,0.86
384,0.907
341,0.482
1023,0.853
36,0.743
456,0.847
404,0.723
37,0.786
354,0.88
40,0.798
763,0.853
390,0.9
392,0.723
43,0.853
523,0.773
366,0.773
443,0.838
393,0.767
1023,0.853
441,0.794
361,0.723
898,0.773
971,0.988
390,0.9
38,0.792
1023,0.853
133,0.662
463,0.521
524,0.577
36,0.907
419,0.722
36,0.692
36,0.787
585,0.86
1154,0.773
37,0.856
38,0.86
354,0.737
856,0.853
37,0.692
647,0.907
133,0.662
801,0.86
364,0.88
354,0.737
523,0.773
408,0.907
38,0.86
36,0.786
36,0.892
37,0.688
647,0.907
364,0.88
39,0.803
36,0.907
394,0.787
361,0.723
492,0.853
37,0.743
366,0.773
36,0.743
706,0.773
411,0.838
37,0.907
654,0.988
355,0.853
971,0.988
36,0.743
36,0.787
37,0.688
419,0.722
449,0.773
37,0.787
482,0.675
383,0.521
706,0.773
361,0.723
706,0.805
37,0.705
37,0.907
40,0.798
856,0.853
38,0.792
36,0.786
654,0.988
398,0.457
37,0.692
953,0.773
37,0.638
37,0.692
37,0.892
356,0.773
37,0.787
40,0.798
1023,0.853
385,0.773
530,0.773
36,0.692
356,0.773
37,0.705
367,0.803
953,0.773
37,0.787
40,0.798
39,0.803
524,0.577
962,0.8
37,0.787
456,0.847
37,0.743
36,0.692
37,0.705
37,0.771
394,0.787
387,0.675
37,0.692
36,0.675
37,0.771
1154,0.773
354,0.88
356,0.773
341,0.482
38,0.856
37,0.892
37,0.692
38,0.792
898,0.773
530,0.773
38,0.86
934,0.863
408,0.907
831,0.863
43,0.853
385,0.773
36,0.892
363,0.722
449,0.773
36,0.892
482,0.675
390,0.9
435,0.577
37,0.892
393,0.767
411,0.457
654,0.988
37,0.688
36,0.786
37,0.692
354,0.737
38,0.792
341,0.482
37,0.743
37,0.786
43,0.853
37,0.787
37,0.786
37,0.688
37,0.856
133,0.662
446,0.737
36,0.892
37,0.771
411,0.838
37,0.692
585,0.86
36,0.675
411,0.457
530,0.773
408,0.907
37,0.638
407,0.577
36,0.638
446,0.737
392,0.723
443,0.838
37,0.638
500,0.863
411,0.457
647,0.907
367,0.803
39,0.803
38,0.86
367,0.803
37,0.907
394,0.787
441,0.794
706,0.773
482,0.675
383,0.521
37,0.892
493,0.805
37,0.743
