@relation loudness
@attribute POWER numeric
@attribute CAR numeric

@data
37,-5.84
524,-5.854
1023,-6.407
363,-5.751
446,-4.339
36,-4.063
763,-5.126
419,-5.751
385,-5.247
763,-5.126
443,-2.881
36,-6.683
494,-5.126
801,-2.652
37,-6.683
36,-3.67
355,-6.407
37,-6.683
38,-2.652
411,-11.295
383,-5.094
355,-6.407
37,-3.462
39,-4.251
39,-4.251
971,-2.042
856,-5.126
408,-4.063
435,-5.854
390,-3.719
36,-7.657
419,-5.751
548,-6.707
1023,-6.407
1023,-6.407
37,-4.688
446,-4.339
500,-4.153
831,-4.153
654,-2.042
523,-5.247
37,-3.67
449,-5.247
383,-5.094
370,-4.251
38,-2.652
407,-5.854
441,-5.063
36,-3.67
40,-2.674
364,-2.384
36,-3.462
411,-11.295
38,-4.023
460,-5.247
898,-5.247
36,-5.342
898,-5.247
772,-5.126
772,-5.126
898,-5.247
38,-2.652
37,-5.723
36,-3.462
38,-4.023
548,-6.707
394,-4.402
37,-5.342
36,-7.657
37,-4.023
133,-6.707
37,-6.683
354,-2.384
392,-6.976
934,-4.153
36,-5.723
831,-4.153
37,-5.84
856,-5.126
43,-6.407
38,-2.749
37,-7.485
36,-4.688
37,-6.683
398,-11.295
363,-5.751
361,-6.976
463,-5.094
408,-4.063
460,-5.247
763,-5.126
36,-7.657
449,-5.247
37,-6.683
36,-4.688
962,-6.661
654,-2.042
367,-4.251
411,-2.881
392,-6.976
394,-4.402
493,-5.874
856,-5.126
530,-5.247
36,-6.683
390,-3.719
364,-2.384
492,-6.407
1154,-5.247
953,-5.247
404,-6.976
38,-2.652
341,-9.445
524,-5.854
366,-5.247
411,-2.881
36,-5.342
37,-6.922
524,-5.854
38,-2.749
37,-4.063
441,-5.063
37,-5.342
354,-2.384
387,-5.041
36,-3.462
419,-5.751
36,-3.67
36,-6.683
366,-5.247
492,-6.407
37,-5.723
492,-6.407
37,-6.922
37,-3.67
38,-2.749
36,-5.342
953,-5.247
441,-5.063
367,-4.251
408,-4.063
36,-3.462
36,-4.688
37,-4.688
37,-3.67
37,-3.67
463,-5.094
419,-5.751
37,-4.063
411,-11.295
435,-5.854
398,-11.295
548,-6.707
37,-4.023
493,-5.874
36,-5.723
37,-6.683
37,-5.84
37,-6.683
37,-7.485
36,-4.063
772,-5.126
37,-5.84
1023,-6.407
36,-5.723
383,-5.094
354,-4.339
37,-3.462
37,-5.723
492,-6.407
411,-2.881
953,-5.247
361,-6.976
43,-6.407
384,-4.063
463,-5.094
133,-6.707
1154,-5.247
441,-5.063
37,-6.683
37,-3.462
38,-2.652
38,-2.652
36,-5.342
647,-4.063
37,-7.485
354,-2.384
647,-4.063
36,-4.688
408,-4.063
37,-4.063
37,-6.683
523,-5.247
36,-7.657
398,-11.295
384,-4.063
37,-4.023
37,-3.67
36,-5.723
363,-5.751
38,-4.023
530,-5.247
500,-4.153
37,-3.67
37,-5.84
364,-2.384
482,-5.041
585,-2.652
36,-5.723
934,-4.153
463,-5.094
404,-6.976
36,-4.063
585,-2.652
801,-2.652
494,-5.126
443,-2.881
456,-3.862
366,-5.247
530,-5.247
530,-5.247
482,-5.041
585,-2.652
763,-5.126
393,-5.024
38,-4.023
37,-5.84
1154,-5.247
36,-3.462
460,-5.247
37,-3.67
446,-4.339
706,-5.874
37,-4.688
385,-5.247
38,-4.023
971,-2.042
482,-5.041
387,-5.041
390,-3.719
356,-5.247
38,-2.652
706,-5.874
446,-4.339
706,-5.247
585,-2.652
36,-3.462
654,-2.042
43,-6.407
706,-5.874
38,-4.023
37,-4.688
500,-4.153
356,-5.247
36,-7.657
387,-5.041
407,-5.854
831,-4.153
548,-6.707
393,-5.024
398,-11.295
133,-6.707
387,-5.041
36,-6.683
407,-5.854
133,-6.707
364,-2.384
40,-2.674
36,-4.688
341,-9.445
37,-5.84
524,-5.854
341,-9.445
460,-5.247
404,-6.976
411,-2.881
367,-4.251
494,-5.126
456,-3.862
772,-5.126
37,-3.462
962,-6.661
953,-5.247
482,-5.041
411,-11.295
36,-5.723
39,-4.251
355,-6.407
37,-6.683
385,-5.247
36,-5.723
449,-5.247
393,-5.024
36,-3.462
36,-4.688
356,-5.247
37,-6.683
36,-3.67
706,-5.247
37,-6.683
1154,-5.247
366,-5.247
962,-6.661
354,-4.339
898,-5.247
354,-4.339
962,-6.661
456,-3.862
393,-5.024
443,-2.881
37,-4.023
384,-4.063
361,-6.976
647,-4.063
934,-4.153
654,-2.042
40,-2.674
354,-2.384
37,-4.063
38,-4.023
341,-9.445
36,-5.723
361,-6.976
37,-5.723
36,-7.657
37,-6.922
435,-5.854
37,-7.485
38,-2.652
385,-5.247
384,-4.063
370,-4.251
390,-3.719
36,-7.657
367,-4.251
36,-4.063
383,-5.094
363,-5.751
494,-5.126
36,-4.688
493,-5.874
647,-4.063
36,-7.657
523,-5.247
354,-4.339
40,-2.674
493,-5.874
706,-5.247
443,-2.881
856,-5.126
404,-6.976
394,-4.402
407,-5.854
435,-5.854
706,-5.247
38,-4.023
801,-2.652
831,-4.153
37,-5.84
392,-6.976
971,-2.042
392,-6.976
37,-5.342
971,-2.042
39,-4.251
37,-6.922
801,-2.652
38,-2.749
523,-5.247
370,-4.251
394,-4.402
449,-5.247
356,-5.247
500,-4.153
355,-6.407
456,-3.862
37,-5.342
43,-6.407
706,-5.874
370,-4.251
934,-4.153
37,-3.67
36,-4.688
36,-3.462
