@relation speechiness
@attribute POWER numeric
@attribute CAR numeric

@data
37,0.0357
524,0.168
1023,0.0498
363,0.0398
446,0.0481
36,0.108
763,0.283
419,0.0398
385,0.251
763,0.283
443,0.046
36,0.249
494,0.283
801,0.0593
37,0.249
36,0.34
355,0.0498
37,0.249
38,0.0593
411,0.107
383,0.123
355,0.0498
37,0.0627
39,0.156
39,0.156
971,0.0639
856,0.283
408,0.108
435,0.168
390,0.0377
36,0.301
419,0.0398
548,0.319
1023,0.0498
1023,0.0498
37,0.0462
446,0.0481
500,0.0381
831,0.0381
654,0.0639
523,0.251
37,0.34
449,0.251
383,0.123
370,0.156
38,0.0593
407,0.168
441,0.064
36,0.34
40,0.0423
364,0.0504
36,0.0627
411,0.107
38,0.0323
460,0.251
898,0.251
36,0.0622
898,0.251
772,0.283
772,0.283
898,0.251
38,0.0593
37,0.186
36,0.0627
38,0.0323
548,0.319
394,0.113
37,0.0622
36,0.301
37,0.0323
133,0.319
37,0.249
354,0.0504
392,0.0566
934,0.0381
36,0.186
831,0.0381
37,0.0357
856,0.283
43,0.0498
38,0.0452
37,0.118
36,0.0462
37,0.249
398,0.107
363,0.0398
361,0.0566
463,0.123
408,0.108
460,0.251
763,0.283
36,0.301
449,0.251
37,0.249
36,0.0462
962,0.22
654,0.0639
367,0.156
411,0.046
392,0.0566
394,0.113
493,0.257
856,0.283
530,0.251
36,0.249
390,0.0377
364,0.0504
492,0.0498
1154,0.251
953,0.251
404,0.0566
38,0.0593
341,0.139
524,0.168
366,0.251
411,0.046
36,0.0622
37,0.129
524,0.168
38,0.0452
37,0.108
441,0.064
37,0.0622
354,0.0504
387,0.0442
36,0.0627
419,0.0398
36,0.34
36,0.249
366,0.251
492,0.0498
37,0.186
492,0.0498
37,0.129
37,0.34
38,0.0452
36,0.0622
953,0.251
441,0.064
367,0.156
408,0.108
36,0.0627
36,0.0462
37,0.0462
37,0.34
37,0.34
463,0.123
419,0.0398
37,0.108
411,0.107
435,0.168
398,0.107
548,0.319
37,0.0323
493,0.257
36,0.186
37,0.249
37,0.0357
37,0.249
37,0.118
36,0.108
772,0.283
37,0.0357
1023,0.0498
36,0.186
383,0.123
354,0.0481
37,0.0627
37,0.186
492,0.0498
411,0.046
953,0.251
361,0.0566
43,0.0498
384,0.108
463,0.123
133,0.319
1154,0.251
441,0.064
37,0.249
37,0.0627
38,0.0593
38,0.0593
36,0.0622
647,0.108
37,0.118
354,0.0504
647,0.108
36,0.0462
408,0.108
37,0.108
37,0.249
523,0.251
36,0.301
398,0.107
384,0.108
37,0.0323
37,0.34
36,0.186
363,0.0398
38,0.0323
530,0.251
500,0.0381
37,0.34
37,0.0357
364,0.0504
482,0.0442
585,0.0593
36,0.186
934,0.0381
463,0.123
404,0.0566
36,0.108
585,0.0593
801,0.0593
494,0.283
443,0.046
456,0.0507
366,0.251
530,0.251
530,0.251
482,0.0442
585,0.0593
763,0.283
393,0.0489
38,0.0323
37,0.0357
1154,0.251
36,0.0627
460,0.251
37,0.34
446,0.0481
706,0.257
37,0.0462
385,0.251
38,0.0323
971,0.0639
482,0.0442
387,0.0442
390,0.0377
356,0.251
38,0.0593
706,0.257
446,0.0481
706,0.251
585,0.0593
36,0.0627
654,0.0639
43,0.0498
706,0.257
38,0.0323
37,0.0462
500,0.0381
356,0.251
36,0.301
387,0.0442
407,0.168
831,0.0381
548,0.319
393,0.0489
398,0.107
133,0.319
387,0.0442
36,0.249
407,0.168
133,0.319
364,0.0504
40,0.0423
36,0.0462
341,0.139
37,0.0357
524,0.168
341,0.139
460,0.251
404,0.0566
411,0.046
367,0.156
494,0.283
456,0.0507
772,0.283
37,0.0627
962,0.22
953,0.251
482,0.0442
411,0.107
36,0.186
39,0.156
355,0.0498
37,0.249
385,0.251
36,0.186
449,0.251
393,0.0489
36,0.0627
36,0.0462
356,0.251
37,0.249
36,0.34
706,0.251
37,0.249
1154,0.251
366,0.251
962,0.22
354,0.0481
898,0.251
354,0.0481
962,0.22
456,0.0507
393,0.0489
443,0.046
37,0.0323
384,0.108
361,0.0566
647,0.108
934,0.0381
654,0.0639
40,0.0423
354,0.0504
37,0.108
38,0.0323
341,0.139
36,0.186
361,0.0566
37,0.186
36,0.301
37,0.129
435,0.168
37,0.118
38,0.0593
385,0.251
384,0.108
370,0.156
390,0.0377
36,0.301
367,0.156
36,0.108
383,0.123
363,0.0398
494,0.283
36,0.0462
493,0.257
647,0.108
36,0.301
523,0.251
354,0.0481
40,0.0423
493,0.257
706,0.251
443,0.046
856,0.283
404,0.0566
394,0.113
407,0.168
435,0.168
706,0.251
38,0.0323
801,0.0593
831,0.0381
37,0.0357
392,0.0566
971,0.0639
392,0.0566
37,0.0622
971,0.0639
39,0.156
37,0.129
801,0.0593
38,0.0452
523,0.251
370,0.156
394,0.113
449,0.251
356,0.251
500,0.0381
355,0.0498
456,0.0507
37,0.0622
43,0.0498
706,0.257
370,0.156
934,0.0381
37,0.34
36,0.0462
36,0.0627
