@relation tempo
@attribute POWER numeric
@attribute CAR numeric

@data
449,171.529
36,108.944
493,119.81
37,125.966
530,171.529
394,125.013
492,105.256
548,100.035
37,114.011
36,104.008
36,129.991
36,104.008
392,113.778
36,122.224
363,127.877
398,182.068
585,93.989
435,109.904
133,100.035
393,124.071
500,110.018
364,95.079
36,104.008
37,114.011
962,114.923
971,186.113
39,107.005
404,113.778
706,119.81
706,171.529
364,95.079
831,110.018
38,127.963
361,113.778
37,92.959
772,119.939
36,124.039
460,171.529
772,119.939
492,105.256
356,171.529
384,132.057
494,119.939
367,107.005
36,108.944
934,110.018
460,171.529
341,181.995
36,122.224
354,95.079
387,101.956
523,171.529
463,160.087
763,119.939
408,132.057
366,171.529
37,191.772
971,186.113
404,113.778
898,171.529
36,122.224
435,109.904
1154,171.529
387,101.956
411,182.068
36,108.944
370,107.005
460,171.529
37,127.963
355,105.256
38,93.989
38,127.963
370,107.005
36,129.991
37,114.011
435,109.904
36,129.991
1154,171.529
363,127.877
370,107.005
385,171.529
36,122.224
37,191.772
441,135.959
456,129.899
385,171.529
801,93.989
548,100.035
460,171.529
419,127.877
831,110.018
38,93.989
548,100.035
898,171.529
772,119.939
443,127.998
355,105.256
443,127.998
494,119.939
355,105.256
463,160.087
482,101.956
500,110.018
548,100.035
37,124.039
38,93.989
763,119.939
390,127.978
36,191.772
831,110.018
456,129.899
407,109.904
524,109.904
38,127.963
38,127.963
37,191.772
494,119.939
953,171.529
393,124.071
36,124.039
398,182.068
38,127.963
801,93.989
43,105.256
36,125.966
36,108.944
384,132.057
366,171.529
387,101.956
493,119.81
38,93.989
36,108.944
404,113.778
500,110.018
37,90.005
37,125.966
934,110.018
36,122.224
392,113.778
36,122.224
449,171.529
37,132.057
36,124.039
36,129.991
962,114.923
962,114.923
38,127.963
36,191.772
446,128.062
37,125.966
934,110.018
647,132.057
36,104.008
419,127.877
411,127.998
706,119.81
36,104.008
856,119.939
370,107.005
763,119.939
37,108.944
706,119.81
523,171.529
585,93.989
37,114.011
36,132.057
492,105.256
856,119.939
354,128.062
772,119.939
38,127.963
383,160.087
407,109.904
494,119.939
446,128.062
953,171.529
37,127.963
654,186.113
37,125.966
524,109.904
493,119.81
398,182.068
37,125.966
383,160.087
36,132.057
411,127.998
407,109.904
363,127.877
441,135.959
384,132.057
463,160.087
354,95.079
801,93.989
384,132.057
341,181.995
1023,105.256
36,104.008
456,129.899
404,113.778
37,108.944
354,95.079
40,100.029
763,119.939
390,127.978
392,113.778
43,105.256
523,171.529
366,171.529
443,127.998
393,124.071
1023,105.256
441,135.959
361,113.778
898,171.529
971,186.113
390,127.978
38,100.015
1023,105.256
133,100.035
463,160.087
524,109.904
36,132.057
419,127.877
36,125.966
36,191.772
585,93.989
1154,171.529
37,127.963
38,93.989
354,128.062
856,119.939
37,125.966
647,132.057
133,100.035
801,93.989
364,95.079
354,128.062
523,171.529
408,132.057
38,93.989
36,108.944
36,129.991
37,114.011
647,132.057
364,95.079
39,107.005
36,132.057
394,125.013
361,113.778
492,105.256
37,104.008
366,171.529
36,104.008
706,171.529
411,127.998
37,132.057
654,186.113
355,105.256
971,186.113
36,104.008
36,191.772
37,114.011
419,127.877
449,171.529
37,191.772
482,101.956
383,160.087
706,171.529
361,113.778
706,119.81
37,90.005
37,132.057
40,100.029
856,119.939
38,100.015
36,108.944
654,186.113
398,182.068
37,125.966
953,171.529
37,124.039
37,125.966
37,129.991
356,171.529
37,191.772
40,100.029
1023,105.256
385,171.529
530,171.529
36,125.966
356,171.529
37,90.005
367,107.005
953,171.529
37,191.772
40,100.029
39,107.005
524,109.904
962,114.923
37,191.772
456,129.899
37,104.008
36,125.966
37,90.005
37,92.959
394,125.013
387,101.956
37,125.966
36,122.224
37,92.959
1154,171.529
354,95.079
356,171.529
341,181.995
38,127.963
37,129.991
37,125.966
38,100.015
898,171.529
530,171.529
38,93.989
934,110.018
408,132.057
831,110.018
43,105.256
385,171.529
36,129.991
363,127.877
449,171.529
36,129.991
482,101.956
390,127.978
435,109.904
37,129.991
393,124.071
411,182.068
654,186.113
37,114.011
36,108.944
37,125.966
354,128.062
38,100.015
341,181.995
37,104.008
37,108.944
43,105.256
37,191.772
37,108.944
37,114.011
37,127.963
133,100.035
446,128.062
36,129.991
37,92.959
411,127.998
37,125.966
585,93.989
36,122.224
411,182.068
530,171.529
408,132.057
37,124.039
407,109.904
36,124.039
446,128.062
392,113.778
443,127.998
37,124.039
500,110.018
411,182.068
647,132.057
367,107.005
39,107.005
38,93.989
367,107.005
37,132.057
394,125.013
441,135.959
706,171.529
482,101.956
383,160.087
37,129.991
493,119.81
37,104.008
