@relation danceability
@attribute POWER numeric
@attribute CAR numeric

@data
654,0.38
456,0.695
37,0.688
40,0.689
971,0.38
37,0.611
354,0.579
361,0.661
37,0.712
492,0.542
36,0.874
36,0.715
37,0.771
934,0.496
831,0.496
530,0.564
482,0.798
898,0.564
37,0.593
449,0.564
37,0.874
38,0.737
706,0.681
366,0.564
37,0.616
355,0.542
404,0.661
36,0.616
354,0.626
393,0.618
411,0.736
953,0.564
38,0.588
419,0.594
36,0.712
856,0.838
37,0.676
585,0.737
367,0.685
500,0.496
43,0.542
356,0.564
446,0.579
390,0.635
37,0.703
36,0.676
37,0.676
398,0.736
392,0.661
772,0.838
1154,0.564
411,0.745
37,0.688
36,0.715
37,0.676
36,0.771
460,0.564
493,0.681
394,0.77
36,0.712
523,0.564
38,0.737
384,0.49
435,0.837
962,0.757
647,0.49
443,0.745
36,0.593
133,0.906
36,0.49
763,0.838
441,0.749
1023,0.542
408,0.49
524,0.837
36,0.616
706,0.564
385,0.564
38,0.588
383,0.78
37,0.593
463,0.78
37,0.588
363,0.594
341,0.735
548,0.906
801,0.737
494,0.838
36,0.874
38,0.687
387,0.798
37,0.49
39,0.685
407,0.837
364,0.626
370,0.685
