@relation energy
@attribute POWER numeric
@attribute CAR numeric

@data
654,0.988
456,0.847
37,0.688
40,0.798
971,0.988
37,0.771
354,0.737
361,0.723
37,0.743
492,0.853
36,0.786
36,0.675
37,0.638
934,0.863
831,0.863
530,0.773
482,0.675
898,0.773
37,0.787
449,0.773
37,0.786
38,0.86
706,0.805
366,0.773
37,0.892
355,0.853
404,0.723
36,0.892
354,0.88
393,0.767
411,0.457
953,0.773
38,0.856
419,0.722
36,0.743
856,0.853
37,0.692
585,0.86
367,0.803
500,0.863
43,0.853
356,0.773
446,0.737
390,0.9
37,0.705
36,0.692
37,0.692
398,0.457
392,0.723
772,0.853
1154,0.773
411,0.838
37,0.688
36,0.675
37,0.692
36,0.638
460,0.773
493,0.805
394,0.787
36,0.743
523,0.773
38,0.86
384,0.907
435,0.577
962,0.8
647,0.907
443,0.838
36,0.787
133,0.662
36,0.907
763,0.853
441,0.794
1023,0.853
408,0.907
524,0.577
36,0.892
706,0.773
385,0.773
38,0.856
383,0.521
37,0.787
463,0.521
37,0.856
363,0.722
341,0.482
548,0.662
801,0.86
494,0.853
36,0.786
38,0.792
387,0.675
37,0.907
39,0.803
407,0.577
364,0.88
370,0.803
