@relation loudness
@attribute POWER numeric
@attribute CAR numeric

@data
38,-2.652
38,-4.023
37,-3.462
408,-4.063
387,-5.041
363,-5.751
37,-4.023
38,-4.023
37,-4.688
449,-5.247
37,-6.922
482,-5.041
654,-2.042
37,-7.485
37,-5.84
354,-2.384
411,-2.881
37,-5.84
524,-5.854
390,-3.719
36,-4.063
37,-5.723
394,-4.402
367,-4.251
523,-5.247
37,-6.683
39,-4.251
40,-2.674
706,-5.874
43,-6.407
398,-11.295
366,-5.247
1023,-6.407
971,-2.042
404,-6.976
36,-4.688
38,-2.749
500,-4.153
384,-4.063
435,-5.854
393,-5.024
37,-5.342
772,-5.126
36,-5.342
341,-9.445
411,-11.295
36,-7.657
446,-4.339
37,-6.683
494,-5.126
36,-3.462
456,-3.862
36,-3.462
1154,-5.247
36,-3.67
354,-4.339
36,-6.683
407,-5.854
133,-6.707
37,-6.683
492,-6.407
647,-4.063
36,-5.723
441,-5.063
493,-5.874
463,-5.094
831,-4.153
36,-7.657
530,-5.247
953,-5.247
37,-4.063
36,-4.688
443,-2.881
370,-4.251
706,-5.247
962,-6.661
364,-2.384
37,-3.67
419,-5.751
355,-6.407
801,-2.652
37,-3.67
392,-6.976
356,-5.247
934,-4.153
856,-5.126
585,-2.652
460,-5.247
361,-6.976
38,-2.652
36,-5.723
763,-5.126
385,-5.247
548,-6.707
898,-5.247
383,-5.094
