@relation tempo
@attribute POWER numeric
@attribute CAR numeric

@data
38,93.989
38,127.963
37,104.008
408,132.057
387,101.956
363,127.877
37,127.963
38,127.963
37,129.991
449,171.529
37,90.005
482,101.956
654,186.113
37,92.959
37,114.011
354,95.079
411,127.998
37,114.011
524,109.904
390,127.978
36,132.057
37,108.944
394,125.013
367,107.005
523,171.529
37,125.966
39,107.005
40,100.029
706,119.81
43,105.256
398,182.068
366,171.529
1023,105.256
971,186.113
404,113.778
36,129.991
38,100.015
500,110.018
384,132.057
435,109.904
393,124.071
37,124.039
772,119.939
36,124.039
341,181.995
411,182.068
36,122.224
446,128.062
37,125.966
494,119.939
36,104.008
456,129.899
36,104.008
1154,171.529
36,191.772
354,128.062
36,125.966
407,109.904
133,100.035
37,125.966
492,105.256
647,132.057
36,108.944
441,135.959
493,119.81
463,160.087
831,110.018
36,122.224
530,171.529
953,171.529
37,132.057
36,129.991
443,127.998
370,107.005
706,171.529
962,114.923
364,95.079
37,191.772
419,127.877
355,105.256
801,93.989
37,191.772
392,113.778
356,171.529
934,110.018
856,119.939
585,93.989
460,171.529
361,113.778
38,93.989
36,108.944
763,119.939
385,171.529
548,100.035
898,171.529
383,160.087
